"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2024","122.28","120.50","123.35","120.44","248.05K","1.33%"
"12/24/2024","120.67","118.81","121.27","118.80","184.88K","1.57%"
"12/23/2024","118.81","120.26","120.26","118.24","260.68K","-1.21%"
"12/20/2024","120.26","121.00","123.00","118.87","908.67K","-1.56%"
"12/19/2024","122.17","121.10","123.14","121.10","240.04K","0.86%"
"12/18/2024","121.13","125.00","125.33","120.98","263.84K","-3.22%"
"12/17/2024","125.16","126.19","126.70","124.75","316.82K","-1.15%"
"12/16/2024","126.62","126.99","128.77","126.47","295.13K","-0.28%"
"12/13/2024","126.97","127.62","128.09","126.84","205.26K","-0.86%"
"12/12/2024","128.07","127.14","129.20","127.13","214.40K","0.74%"
"12/11/2024","127.13","128.51","129.56","127.13","370.09K","-0.28%"
"12/10/2024","127.49","128.00","129.00","127.42","236.56K","-0.16%"
"12/09/2024","127.70","128.24","129.44","127.40","252.04K","-1.06%"
"12/06/2024","129.07","131.81","131.81","129.04","325.55K","-2.04%"
"12/05/2024","131.76","128.92","132.35","127.77","363.47K","2.58%"
"12/04/2024","128.45","130.23","130.23","127.50","274.88K","-1.50%"
"12/03/2024","130.41","130.90","130.90","129.18","343.50K","-0.37%"
"12/02/2024","130.90","130.50","131.23","129.00","344.83K","0.36%"
"11/29/2024","130.43","131.59","131.96","129.44","164.04K","-0.62%"
"11/27/2024","131.24","134.50","135.33","130.50","331.92K","-2.42%"
"11/26/2024","134.50","130.57","135.68","129.04","618.97K","3.49%"
"11/25/2024","129.96","127.12","130.79","126.54","531.48K","3.15%"
"11/22/2024","125.99","125.00","126.04","124.41","261.41K","1.10%"
"11/21/2024","124.62","123.62","125.65","123.62","298.24K","0.66%"
"11/20/2024","123.80","122.31","123.88","121.30","268.51K","1.18%"
"11/19/2024","122.36","119.54","122.36","119.21","270.83K","1.19%"
"11/18/2024","120.92","121.00","122.16","120.52","304.57K","-0.12%"
"11/15/2024","121.07","121.06","121.08","118.19","436.15K","-0.37%"
"11/14/2024","121.52","122.96","122.96","120.77","385.03K","-1.26%"
"11/13/2024","123.07","124.45","124.55","122.52","290.88K","-0.44%"
"11/12/2024","123.62","122.28","124.09","121.45","329.39K","1.25%"
"11/11/2024","122.09","123.05","124.84","121.45","380.89K","-0.30%"
"11/08/2024","122.46","119.46","124.13","118.95","434.36K","3.10%"
"11/07/2024","118.78","118.55","119.94","116.50","338.63K","-0.26%"
"11/06/2024","119.09","120.30","121.33","115.92","577.78K","0.96%"
"11/05/2024","117.96","114.10","118.30","113.61","393.93K","3.15%"
"11/04/2024","114.36","113.44","116.47","113.42","613.17K","0.81%"
"11/01/2024","113.44","113.62","116.59","112.31","577.60K","0.90%"
"10/31/2024","112.43","116.35","116.35","106.54","1.04M","-6.28%"
"10/30/2024","119.96","121.00","121.33","119.63","315.96K","-0.83%"
"10/29/2024","120.96","122.47","122.56","120.21","392.11K","-1.71%"
"10/28/2024","123.06","124.44","126.32","122.71","393.50K","-1.47%"
"10/25/2024","124.89","127.21","127.21","124.86","297.73K","-1.18%"
"10/24/2024","126.38","126.92","128.48","126.38","311.52K","-0.78%"
"10/23/2024","127.37","126.53","128.01","125.60","276.16K","0.65%"
"10/22/2024","126.55","126.64","127.26","125.70","323.45K","-0.68%"
"10/21/2024","127.42","128.55","128.55","126.39","406.27K","-1.03%"
"10/18/2024","128.75","130.03","130.03","126.48","353.77K","-1.39%"
"10/17/2024","130.56","130.85","131.10","128.80","251.74K","-0.27%"
"10/16/2024","130.91","130.29","132.00","130.00","288.42K","0.34%"
"10/15/2024","130.47","130.16","130.95","129.22","344.93K","0.24%"
"10/14/2024","130.16","129.05","130.65","129.05","233.41K","1.46%"
"10/11/2024","128.29","126.70","128.59","126.70","256.77K","1.25%"
"10/10/2024","126.70","127.50","127.51","126.36","285.90K","-0.74%"
"10/09/2024","127.65","127.89","129.17","127.41","277.61K","-0.16%"
"10/08/2024","127.86","126.00","128.57","126.00","285.46K","1.69%"
"10/07/2024","125.73","128.73","128.73","125.20","319.99K","-2.69%"
